                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98412,                 2.3613,                  1.299,                0.83398,                 0.3756,                0.56122,                0.35886,                0.99405,                 5.2785,                0.92112,             0.00065333,             0.00065333,             0.00065333
                      2,                    1.1,                 2.0739,                 1.3272,                0.43492,                0.37404,                0.36887,                0.18927,                 1.3626,                 8.5913,                 1.3243,              0.0013069,              0.0013069,              0.0013069
                      3,                 1.1885,                  2.074,                  1.384,                0.28943,                0.40187,                0.25294,                0.11683,                 1.7838,                 10.452,                 1.5245,              0.0019473,              0.0019473,              0.0019473
                      4,                 1.2608,                 2.0526,                 1.4349,                0.22318,                0.31776,                0.22293,                0.11067,                 1.8885,                 8.5602,                 1.4937,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1853,                 1.9888,                 1.3841,                0.59692,                0.38318,                0.48611,                0.26653,                 1.3307,                 4.4742,                 1.0782,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.213,                 1.9698,                 1.3616,                0.52825,                0.46729,                0.43697,                0.24159,                 1.4403,                 4.7801,                  1.077,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1967,                 1.9105,                 1.3384,                0.62418,                0.40359,                0.50726,                 0.2809,                 1.3811,                 4.2639,                 1.0686,               0.001901,               0.001901,               0.001901
                      8,                 1.2029,                 1.9036,                 1.3358,                0.43771,                0.52336,                0.49796,                0.30191,                 1.1376,                 4.5438,                 0.9337,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1855,                 1.8857,                 1.3299,                0.51652,                0.31776,                0.32876,                0.18681,                 1.6276,                 5.3838,                 1.2201,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1967,                 1.9156,                 1.3722,                0.54109,                0.49588,                0.55574,                0.36074,                 1.1657,                 4.0629,                 0.9519,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1519,                 1.8494,                 1.3257,                 0.6918,                0.58879,                0.67988,                0.42967,                  1.224,                 3.8584,                 1.0176,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1167,                 1.8142,                 1.2987,                0.71257,                0.51402,                0.63293,                0.38599,                 1.2157,                  4.125,                 1.0161,               0.001802,               0.001802,               0.001802
                     13,                  1.125,                  1.843,                 1.3119,                0.66651,                0.57902,                0.66074,                0.41119,                 1.1605,                 3.9532,                0.96135,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.087,                 1.8215,                 1.2745,                0.65245,                0.63162,                0.63277,                0.39809,                 1.0113,                 3.7818,                0.89432,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0612,                 1.8209,                 1.2744,                0.73065,                0.65421,                0.69757,                0.44332,                 1.1754,                 3.9319,                 1.0034,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0801,                 1.7836,                 1.2886,                 0.5921,                0.54206,                0.61688,                0.40934,                 1.0916,                  3.666,                0.93702,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0682,                 1.7565,                 1.2761,                0.56613,                0.54206,                0.61183,                0.40861,                 1.1237,                 4.0063,                0.94841,               0.001703,               0.001703,               0.001703
                     18,                 1.0793,                 1.7936,                 1.2702,                0.68392,                0.62689,                0.70039,                 0.4747,                 1.1239,                 3.6902,                0.97767,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0672,                 1.7405,                 1.2633,                0.58251,                0.57377,                0.59387,                0.42449,                 1.0374,                 3.6507,                0.90683,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0378,                 1.7624,                   1.24,                0.70514,                 0.5514,                0.62646,                0.43362,                  1.068,                 3.9699,                0.96013,              0.0016436,              0.0016436,              0.0016436
                     21,                   1.03,                 1.7291,                  1.235,                0.68141,                0.58879,                0.65332,                0.42545,                 1.0665,                 3.6106,                 0.9475,              0.0016238,              0.0016238,              0.0016238
                     22,                0.98439,                    1.7,                 1.2111,                0.72921,                0.65436,                0.71534,                0.51603,                 1.0296,                 3.5828,                0.94665,               0.001604,               0.001604,               0.001604
                     23,                0.99648,                 1.7542,                 1.2361,                0.68485,                 0.6296,                0.72174,                0.48856,                0.97112,                 3.6009,                0.86364,              0.0015842,              0.0015842,              0.0015842
                     24,                0.99352,                 1.6896,                 1.2132,                0.76197,                0.68224,                0.73633,                0.49904,                0.93006,                  3.368,                0.85139,              0.0015644,              0.0015644,              0.0015644
                     25,                0.99883,                 1.6771,                 1.2186,                0.67105,                0.71028,                0.67136,                  0.468,                 1.1556,                 3.6958,                 0.9516,              0.0015446,              0.0015446,              0.0015446
                     26,                  0.987,                 1.7275,                 1.2139,                0.67712,                0.60748,                0.70402,                0.48832,                 0.9557,                 3.5017,                0.86704,              0.0015248,              0.0015248,              0.0015248
                     27,                0.97558,                 1.7146,                 1.2129,                 0.6108,                0.56075,                0.60723,                0.39836,                 1.1367,                 3.8088,                0.94121,               0.001505,               0.001505,               0.001505
